Date,Net deposits ($),Price ($)
2020-05-05,2.00,
2020-05-06,4.24,
2020-05-07,4.35,
2020-05-08,25.41,
2020-05-09,25.28,
2020-05-10,23.99,
2020-05-11,23.88,
2020-05-12,28.03,
2020-05-13,589.18,
2020-05-14,699.98,
2020-05-15,929.53,
2020-05-16,1115.93,
2020-05-17,1584.91,
2020-05-18,1320254.59,
2020-05-19,4681154.34,
2020-05-20,11066492.14,
2020-05-21,10830221.48,
2020-05-22,14344038.68,
2020-05-23,15193573.16,
2020-05-24,14796974.71,
2020-05-25,15074565.71,
2020-05-26,15132690.34,
2020-05-27,15800532.51,
2020-05-28,16527403.93,
2020-05-29,17265577.88,
2020-05-30,22913114.36,
2020-05-31,22062184.24,
2020-06-01,23932761.93,
2020-06-02,23846735.16,
2020-06-03,24521872.83,
2020-06-04,24559725.10,
2020-06-05,25088067.58,
2020-06-06,25493725.55,
2020-06-07,26171677.00,
2020-06-08,25284755.30,
2020-06-09,27740718.90,
2020-06-10,28004058.12,
2020-06-11,26841780.01,
2020-06-12,28461311.27,
2020-06-13,28926153.72,
2020-06-14,27976432.89,
2020-06-15,33073769.90,
2020-06-16,33701879.62,
2020-06-17,33990538.80,
2020-06-18,36424319.19,
2020-06-19,36887616.60,
2020-06-20,37906739.75,
2020-06-21,35275494.74,
2020-06-22,38227359.50,
2020-06-23,39559790.77,
2020-06-24,35479482.40,
2020-06-25,33533365.79,
2020-06-26,34493921.88,
2020-06-27,35375394.08,
2020-06-28,36437528.53,
2020-06-29,41475890.63,
2020-06-30,44026509.74,
2020-07-01,47204617.14,
2020-07-02,45697694.59,
2020-07-03,45823054.53,
2020-07-04,46658279.41,
2020-07-05,47613042.70,
2020-07-06,50267919.93,
2020-07-07,49179706.73,
2020-07-08,53918258.84,
2020-07-09,59131062.39,
2020-07-10,59003301.73,
2020-07-11,62332468.55,
2020-07-12,64076665.71,
2020-07-13,64625654.59,
2020-07-14,66854540.03,
2020-07-15,70439803.03,
2020-07-16,75266672.79,
2020-07-17,79731528.14,
2020-07-18,82668929.48,
2020-07-19,88949675.54,
2020-07-20,88161150.53,
2020-07-21,93326558.55,
2020-07-22,96658373.89,
2020-07-23,101260401.68,
2020-07-24,110475439.20,
2020-07-25,129535944.02,
2020-07-26,137422994.05,
2020-07-27,146048810.18,
2020-07-28,146146961.19,
2020-07-29,143484645.10,
2020-07-30,144645306.49,
2020-07-31,154485720.37,
2020-08-01,172280054.69,
2020-08-02,162414881.97,
2020-08-03,177340978.16,
2020-08-04,183748347.18,
2020-08-05,192188720.82,
2020-08-06,198109555.00,
2020-08-07,205988991.30,
2020-08-08,220780293.38,
2020-08-09,227519184.40,
2020-08-10,234047951.55,
2020-08-11,240599678.06,
2020-08-12,299003275.42,
2020-08-13,281616129.40,
2020-08-14,272320926.16,
2020-08-15,278528200.60,
2020-08-16,280667172.94,
2020-08-17,279808469.22,
2020-08-18,301241545.59,
2020-08-19,313695628.16,
2020-08-20,305346172.74,
2020-08-21,278081857.15,
2020-08-22,294138592.52,
2020-08-23,296352068.78,
2020-08-24,311303049.20,
2020-08-25,300065801.69,
2020-08-26,316832183.70,
2020-08-27,317919276.88,
2020-08-28,529324058.70,
2020-08-29,646762994.51,
2020-08-30,948803492.04,
2020-08-31,1386802421.02,
2020-09-01,1980006615.54,
2020-09-02,1935024429.70,
2020-09-03,1808319835.36,
2020-09-04,1970132217.93,
2020-09-05,1260313403.84,
2020-09-06,1639988943.17,
2020-09-07,1734532948.54,
2020-09-08,1592241636.12,
2020-09-09,535124325.77,
2020-09-10,1105519433.63,
2020-09-11,772308248.56,
2020-09-12,716909551.36,
2020-09-13,1075175802.16,
2020-09-14,1141005045.19,
2020-09-15,972246649.38,
2020-09-16,933761002.87,
2020-09-17,1423183329.55,3.44
2020-09-18,1938076936.54,3.44
2020-09-19,2192313897.50,7.10
2020-09-20,2207929344.69,5.70
2020-09-21,2026627438.31,5.26
2020-09-22,2023071182.40,4.29
2020-09-23,1942939810.30,3.91
2020-09-24,2120227454.17,4.34
2020-09-25,2168452308.34,5.14
2020-09-26,2230276051.87,4.91
2020-09-27,2270885598.54,4.87
2020-09-28,2318855194.86,4.84
2020-09-29,2355871650.49,4.25
2020-09-30,2435020010.09,4.34
2020-10-01,2452245732.25,4.15
2020-10-02,2428547478.20,4.24
2020-10-03,2551814057.76,3.90
2020-10-04,2549439068.66,3.89
2020-10-05,2646901425.30,3.72
2020-10-06,2501209097.75,3.32
2020-10-07,2503920626.91,2.69
2020-10-08,2638829387.24,2.96
2020-10-09,2722829116.52,3.31
2020-10-10,2834869353.14,3.41
2020-10-11,2936474097.53,3.30
2020-10-12,2951022741.69,3.37
2020-10-13,2908666382.91,3.45
2020-10-14,3030891487.30,3.35
2020-10-15,3074319093.79,3.12
2020-10-16,2962675256.77,3.08
2020-10-17,2958576494.62,3.04
2020-10-18,3011866091.09,3.07
2020-10-19,3031665951.60,3.27
2020-10-20,2949539962.22,3.17
2020-10-21,2990683397.35,2.85
2020-10-22,2958641448.15,2.93
2020-10-23,2864222430.46,3.03
2020-10-24,2960001939.04,3.01
2020-10-25,3007222044.28,2.94
2020-10-26,3028574014.30,2.77
2020-10-27,3079339834.95,2.71
2020-10-28,2999605668.15,2.82
2020-10-29,2968574881.85,2.67
